company_name,contract_number,location_name,pickup_dt,dropoff_dt
Kent State University,XZ38Y05,TPA,2022-11-01T12:00,2022-11-02T12:00
Lakeland Community College,XZ38Y22,TPA,2022-11-01T12:00,2022-11-02T12:00
Lorain Community College,XZ38Y23,TPA,2022-11-01T12:00,2022-11-02T12:00
Marion Tech Coll,XZ38Y34,TPA,2022-11-01T12:00,2022-11-02T12:00
Massachusetts Higher Education Consortium,524992,TPA,2022-11-01T12:00,2022-11-02T12:00
MasterCard,5282905,TPA,2022-11-01T12:00,2022-11-02T12:00
Miami University,XZ38Y06,TPA,2022-11-01T12:00,2022-11-02T12:00
Michigan State University,5001514,TPA,2022-11-01T12:00,2022-11-02T12:00
NE Ohio University,XZ38Y15,TPA,2022-11-01T12:00,2022-11-02T12:00
North Central St Coll,XZ38Y35,TPA,2022-11-01T12:00,2022-11-02T12:00
NW State Community College,XZ38Y24,TPA,2022-11-01T12:00,2022-11-02T12:00
NWA,5001216,TPA,2022-11-01T12:00,2022-11-02T12:00
Ohio College Association,XZ38Y39,TPA,2022-11-01T12:00,2022-11-02T12:00
Ohio State University,XZ38Y09,TPA,2022-11-01T12:00,2022-11-02T12:00
Ohio University,XZ38Y07,TPA,2022-11-01T12:00,2022-11-02T12:00
Owens Community College,XZ38Y25,TPA,2022-11-01T12:00,2022-11-02T12:00
PFCU,5028035,TPA,2022-11-01T12:00,2022-11-02T12:00
Priceless Vacations,6600330,TPA,2022-11-01T12:00,2022-11-02T12:00
Purdue University,5004459,TPA,2022-11-01T12:00,2022-11-02T12:00
Rutgers,5160502,TPA,2022-11-01T12:00,2022-11-02T12:00
Rutgers,5160502,TPA,2022-11-01T12:00,2022-11-02T12:00
Safeway Inc,1103455,TPA,2022-11-01T12:00,2022-11-02T12:00
Shawnee State University,XZ38Y08,TPA,2022-11-01T12:00,2022-11-02T12:00
Siemens,5201735,TPA,2022-11-01T12:00,2022-11-02T12:00
Sinclair Community College,XZ38Y26,TPA,2022-11-01T12:00,2022-11-02T12:00
Small Associations Program,5282865,TPA,2022-11-01T12:00,2022-11-02T12:00
Southern Illinois University,5710540,TPA,2022-11-01T12:00,2022-11-02T12:00
Southern New Hampshire University,6100842,TPA,2022-11-01T12:00,2022-11-02T12:00
Southern State Community College,XZ38Y27,TPA,2022-11-01T12:00,2022-11-02T12:00
Standard Business Program A,5000491,TPA,2022-11-01T12:00,2022-11-02T12:00
Stark State College,XZ38Y36,TPA,2022-11-01T12:00,2022-11-02T12:00
State of California,5400321,TPA,2022-11-01T12:00,2022-11-02T12:00
State of Georgia,5004625,TPA,2022-11-01T12:00,2022-11-02T12:00
State of Louisana,5004172,TPA,2022-11-01T12:00,2022-11-02T12:00
State of Wisconsin / University of Wisconsin,5004463,TPA,2022-11-01T12:00,2022-11-02T12:00
State of Wisconsin / University of Wisconsin,5766241,TPA,2022-11-01T12:00,2022-11-02T12:00
Terra State Community College,XZ38Y28,TPA,2022-11-01T12:00,2022-11-02T12:00
The University of Iowa,5004461,TPA,2022-11-01T12:00,2022-11-02T12:00
Troy University,XZ55230,TPA,2022-11-01T12:00,2022-11-02T12:00
UC (unsure which organization),5400325,TPA,2022-11-01T12:00,2022-11-02T12:00
United Airlines,2700075,TPA,2022-11-01T12:00,2022-11-02T12:00
University of Akron,XZ38Y10,TPA,2022-11-01T12:00,2022-11-02T12:00
University of California,5400322,TPA,2022-11-01T12:00,2022-11-02T12:00
University of California Los Angeles,XZ32C02,TPA,2022-11-01T12:00,2022-11-02T12:00
University of California San Diego,5904196,TPA,2022-11-01T12:00,2022-11-02T12:00
"University of California, Santa Cruz",5436624,TPA,2022-11-01T12:00,2022-11-02T12:00
University of Chicago,5185011,TPA,2022-11-01T12:00,2022-11-02T12:00
University of Cincinnati,XZ38Y12,TPA,2022-11-01T12:00,2022-11-02T12:00
University of Findlay,XZ38Y55,TPA,2022-11-01T12:00,2022-11-02T12:00
University of Minnesota,5004462,TPA,2022-11-01T12:00,2022-11-02T12:00
"University of Nevada, Las Vegas",5004143,TPA,2022-11-01T12:00,2022-11-02T12:00
University of New Mexico,5420154,TPA,2022-11-01T12:00,2022-11-02T12:00
University of North Carolina,6666666,TPA,2022-11-01T12:00,2022-11-02T12:00
University of South Florida,XZ42D09,TPA,2022-11-01T12:00,2022-11-02T12:00
University of Toledo,XZ38Y11,TPA,2022-11-01T12:00,2022-11-02T12:00
University of VA,5001661,TPA,2022-11-01T12:00,2022-11-02T12:00
UPenn,5001856,TPA,2022-11-01T12:00,2022-11-02T12:00
UPenn,5001856,TPA,2022-11-01T12:00,2022-11-02T12:00
UTU,5005467,TPA,2022-11-01T12:00,2022-11-02T12:00
Washington St Community College,XZ38Y29,TPA,2022-11-01T12:00,2022-11-02T12:00
Washington University St. Louis,5300743,TPA,2022-11-01T12:00,2022-11-02T12:00
Wesleyan Church Corporation / wesleyan.org,XZ08874,TPA,2022-11-01T12:00,2022-11-02T12:00
WestJet,3717102,TPA,2022-11-01T12:00,2022-11-02T12:00
Wright State University,XZ38Y13,TPA,2022-11-01T12:00,2022-11-02T12:00
Wyndham,5028137,TPA,2022-11-01T12:00,2022-11-02T12:00
Youngstown State University,XZ38Y14,TPA,2022-11-01T12:00,2022-11-02T12:00
Zane State University,XZ38Y37,TPA,2022-11-01T12:00,2022-11-02T12:00
